,LocationListNotFound
0,N'Sagar
1,Ingur230
2,METTUR TPS (Stg 3)
3,Pugalur – Erode
4,Puguluru
5,ILFS (main)
6,220 KV B Kothur
7,Main Path: Warangal PG
8,Seethapuram
9,Arasur230(E1)
10,SPKoil
11,Pallon
12,Kalvinthapattu  (main)
13,Madurai(E1)
14,Repeater Shadnagar
15,Madurai230
16,Somayajulapalli 220KVSS
17,Marapalam – Pondy SCC
18,Thingalore 230KV SS
19,Somyajulapalli AP
20,Tirunelveli
21,400KVSS Urvakonda
22,Kayathar
23,Alamathy 400
24,Nagapattinam PG
25,Srisailam RBPH(AP)
26,Davangiri
27,K.T.P.S Vth stage
28,Davangere/Guttur
29,MTPS II
30,Asupaka
31,Trissur PGCIL
32,SATTENAPALLY
33,CK pally
34,Ulundurpet 230 (Myvadi)
35,Bhadrwati
36,NRLDC
37,Hosur (stdby)
38,NEYVELLI
39,Chalakkudy
40,pondy
41,Asupaka 400 KV
42,PLCC:DKY
43,Pugalur 230
44,Upper sileru power houe
45,VELTORE 400 KV
46,Sriperembdur
47,Deviakurichi
48,Kalpakkam (main)
49,MADURAI PG-DCPC
50,Pudanchandai
51,Bidadi (main)
52,Kalapet – Vengata Nagar – Pondy SCC
53,Salem230
54,SRLDC Bangalore
55,Kakinada AP
56,Thiruvarur230
57,Karaiudi
58,ARSUR
59,Gooty PG (DCPC)
60,Dindi
61,Gooty PGIL
62,S'perumbudur 400
63,MADURAI 230 KV SS
64,TS2_2
65,Sriparembadur
66,KOZHIKODEKSEB
67,Madhira 132KVSS
68,Kalapet – Villianur 230 – Pondy SCC
69,Pugalur
70,Brahmanakotkuru
71,SPKOIL 230 kV SS
72,salem(PG)N/w
73,Neyvelli TS1
74,Mettacur –  Kakinada – SRLDC
75,Tiruppur 230Kv
76,PLCC
77,Piduguralla
78,Salem 230
79,Main Path:  Ramagundam_NTPC
80,Pavagada (stdby)
81,Kalapaka
82,Kaiga (main)
83,KOLAR PGCIL STM 16
