,UniqueStations
0,N'Sagar
1,Ingur230
2,METTUR TPS (Stg 3)
3,Pugalur – Erode
4,Puguluru
5,ILFS (main)
6,Tuticorin PS
7,Hassan
8,220 KV B Kothur
9,Main Path: Warangal PG
10,Arasur230(E1)
11,Seethapuram
12,SPKoil
13,Raichur 765kV
14,TIRUPUR 230 kV SS
15,Pallon
16,Mettacur (Yanam)
17,Kalvinthapattu  (main)
18,Madugiri 220 kV
19,Madurai(E1)
20,Kundara
21,Repeater Shadnagar
22,Madurai230
23,Somayajulapalli 220KVSS
24,Marapalam – Pondy SCC
25,Thingalore 230KV SS
26,Somyajulapalli AP
27,Tirunelveli
28,400KVSS Urvakonda
29,Brahmanakotkuru 220KVSS
30,Kayathar
31,Alamathy 400
32,Nagapattinam PG
33,Davangiri
34,K.T.P.S Vth stage
35,Davangere/Guttur
36,MTPS II
37,Srisailam RBPH(AP)
38,Asupaka
39,Thethampakkam
40,Trissur PGCIL
41,Thondamanatham
42,SATTENAPALLY
43,Kudgi NTPC
44,CK pally
45,Ulundurpet 230 (Myvadi)
46,Bhadrwati
47,Mamidipally
48,NRLDC
49,Hosur (stdby)
50,NEYVELLI
51,Chalakkudy
52,pondy
53,Mysore
54,Asupaka 400 KV
55,Korkadu
56,PLCC:DKY
57,Pugalur 230
58,Upper sileru power houe
59,VELTORE 400 KV
60,Sriperembdur
61,Deviakurichi
62,Kalpakkam (main)
63,MADURAI PG-DCPC
64,Pudanchandai
65,Bidadi (main)
66,Kalapet – Vengata Nagar – Pondy SCC
67,SRLDC Bangalore
68,Salem230
69,400 KVSS Kalapaka
70,Kakinada AP
71,Kozhikode PG
72,Thiruvarur230
73,Alampur
74,Karaiudi
75,ARSUR
76,Gooty PG (DCPC)
77,Dindi
78,Gooty PGIL
79,Trichur PG
80,S'perumbudur 400
81,MADURAI 230 KV SS
82,TS2_2
83,Sriparembadur
84,KOZHIKODEKSEB
85,Madhira 132KVSS
86,Kalapet – Villianur 230 – Pondy SCC
87,Pugalur
