source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Nellore PS_765kV,Vijayawada PG (DCPC),Main Path : Nellore PS,Kadappa PG,CK Palli AP,Muddunuru RTPP,Anathapur AP,Gooty Ap,Somayajulapali AP,Kurnool AP(Nannur),SSLM RBPH,Sattenapalli AP,Vijayawada AP(nunna),,,,,,,,,,
Nellore PS_765kV,Vijayawada PG (DCPC),StandBy: Nellore PS,Kadappa PG,Chittor AP,THVLM,Kolar,SMHNL,Bidadi,Nelamangala,Hiriyur,Davangiri,Munirabad,Raichur RTPS,Manahub Nagar,N'Sagar,Tallapali AP,VTPS,Vijayawada AP,Vijayawada PG,,,
Vemagiri PS,Vijayawada PG (DCPC),Main Path: Vemagiri PS,Vijayawada PG2,Viajayawad PG1,,,,,,,,,,,,,,,,,,
Vemagiri PS,Vijayawada PG (DCPC),StandBy: Vemagiri PS,VemagIri Ap,Bommur Ap,Bhimidoulu AP,VTPS,Vijayawada AP(nunna),Viajayawad PG,,,,,,,,,,,,,,
Warangal PG,Vijayawada PG (DCPC),Main Path: Warangal PG,Warangal TS,Khammam TS,Khammam PG,Viajayawada PG,,,,,,,,,,,,,,,,
Warangal PG,Vijayawada PG (DCPC),StandBy: Warangal PG,Ramagundam NTPC,Rep 346,Ghanapur PG,Mamidipalli TS,SSLM LBPH,Kurnool AP(Nannur),SSLM RBPH,Sattenapalli AP,Vijayawada AP(nunna),Viajayawad PG1,,,,,,,,,,
NP Kunta 400kV & STATCOM,Vijayawada PG (DCPC),Main Path: Kadappa PG,CK Palli AP,Muddunuru RTPP,Anathapur AP,Gooty Ap,Somayajulapali AP,Kurnool AP(Nannur),SSLM RBPH,Sattenapalli AP,Vijayawada AP(nunna),,,,,,,,,,,
NP Kunta 400kV & STATCOM,Vijayawada PG (DCPC),StandBy: NP Kunta,Kadappa PG,Chittor AP,THVLM,Kolar,SMHNL,Bidadi,Nelamangala,Hiriyur,Davangiri,Munirabad,Raichur RTPS,Manahub Nagar,N'Sagar,Tallapali AP,VTPS,Vijayawada AP,Vijayawada PG,,,
Srikakulem PS,Gazuwaka PG (DCPC),Main Path: Srikakulam PS,Srikakulam Repeater,Vemagiri PS,Gajuwaka PG,,,,,,,,,,,,,,,,,
Srikakulem PS,Gazuwaka PG (DCPC),StandBy: Srikakulam PS,Srikakulam Repeater,VemagIri PS,VemagIri Ap,Bommur AP,Kakainada AP,Vishakhapatnam VSS,Gajuwaka PG,,,,,,,,,,,,,
Nizambad GIS,Ghanapur PG (DCPC,Main Path: Nizambad PS,Repeater Shadnagar,Maheshwaram PS,Ghanapur PG,,,,,,,,,,,,,,,,,
Nizambad GIS,Ghanapur PG (DCPC,Nizambad PS,Repeater Shadnagar,Maheshwaram PS,Maheshwaram TS,Mamidipalli TS,Ghanapur TS,Ghanapur PG,,,,,,,,,,,,,,
Maheshwaram PS,Ghanapur PG (DCPC,Main Path: Maheshwaram PS,Ghanapur PG,,,,,,,,,,,,,,,,,,,
Maheshwaram PS,Ghanapur PG (DCPC,StandBy: Maheshwaram PS,Maheshwaram TS,Mamidipalli TS,Ghanapur TS,Ghanapur PG,,,,,,,,,,,,,,,,
Kurnool 765kV,Gooty PG (DCPC),Main Path: Kurnool 765kV,Gooty PG,,,,,,,,,,,,,,,,,,,
Kurnool 765kV,Gooty PG (DCPC),StandBy: Kurnool 765kV,Raichur 765kv,Raichur RTPS,Mahabubnagar TS,N'Sagar PG,Tallapalli AP,SSLM RBPH,Kurnool AP,Somyajulapalli AP,Gooty AP,Gooty PG,,,,,,,,,,
Raichur 765kV,Gooty PG (DCPC),Main Path: Raichur 765kv,Kurnool 765kV,Gooty PG,,,,,,,,,,,,,,,,,,
Raichur 765kV,Gooty PG (DCPC),StandBy: Raichur 765kV,Raichur RTPS,Mahabubnagar TS,N'Sagar PG,Tallapalli AP,SSLM RBPH,Kurnool AP,Somyajulapalli AP,Gooty AP,Gooty PG,,,,,,,,,,,
Kadapa PG,Gooty PG (DCPC),Main Path: CK Palli AP,Muddunuru RTPP,Anathapur,Gooty Ap,,,,,,,,,,,,,,,,,
Kadapa PG,Gooty PG (DCPC),StandBy: Kadappa PG,Chittor AP,THVLM,Kolar,SMHNL,Bidadi,Nelamangala,Hiriyur,Davangiri,Munirabad,Raichur RTPS,Raichur 765kv,Kurnool 765kV,Gooty PG,,,,,,,
Simhadri_NTPC,SRLDC,Main Path: Simhadri NTPC,Vemagiri PS,VJA2,VJA1,Viajayawad AP,Satnepalli AP,SSLM RBPH AP,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,,,,,,
Simhadri_NTPC,SRLDC,StandBy: Simhadri NTPC,Gajuwaka PG,Vishakhapatnam VSS,Kakinada AP,Bommur Ap,Bhimidoulu AP,VTPS,Tallapalli AP,Nagarjuna Sagar,Mahubabnagar,Raichur RTPS,Munirabad PG,Devangiri,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,
Ramagundam_NTPC,SRLDC,Main Path:  Ramagundam_NTPC,Repeater 346,Ghanapur PG,Mamidipalli TS,SSLM LBPH,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,
Ramagundam_NTPC,SRLDC,StandBy: Ramagundam NTPC,Warangal PG,Warangal TS,Khammam TS,Khammam PG,Viajayawad PG1,Vijayawada AP,VTPS,Tallapalli AP,Nagarjuna Sagar,Mahubabnagar,Raichur RTPS,Munirabad PG,Devangiri,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,
N'Sagar,SRLDC,N'Sagar,Raichur RTPP,Racihur 765kV,Kurnool 765kV,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,SRLDC,,,,,,,,,,
N'Sagar,NRLDC,N'Sagar,Tallapali ss,SSLM RBPH,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,
Munirabad PG,SRLDC,Munirabad PG,Raichur RTPP,Racihur 765kV,Kurnool 765kV,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,SRLDC,,,,,,,,,,
Munirabad PG,NRLDC,Munirabad PG,Raichur RTPP,N'Sagar,Tallapali ss,SSLM RBPH,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,
Gooty PG,SRLDC,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,SRLDC,,,,,,,,,,,,,,
Gooty PG,NRLDC,Gooty PG,Gooty Ap,Somayajulapali AP,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,
Viajaywada PG,SRLDC,Vijayawad PG,Viajayawad AP,Satnepalli AP,SSLM RBPH AP,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Viajaywada PG,NRLDC,Vijayawada PG,Khammam PG,Khammam TS,Warangal TS,Warangal PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,
Khammam PG,SRLDC,Vijayawada PG,Viajayawad AP,Satnepalli AP,SSLM RBPH,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,,
Khammam PG,NRLDC,Khammam PG,Khammam TS,Warangal TS,Warangal PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,
Nellore PG,SRLDC,Kadapa PG,CK Palli AP,Muddunuru RTPP,Anathapur,Gooty Ap,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,,,,,,,,,,
Nellore PG,NRLDC,Nellore PS,Kadappa PG,CK Palli AP,Muddunuru RTPP,Anathapur AP,Gooty Ap,Somayajulapali AP,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,
Kadapa 765kV,SRLDC,CK Palli AP,Muddunuru RTPP,Anathapur,Gooty Ap,Gooty PG,Pavagada,Hiriyur,NLMGL,Bidadi,SMNHL,,,,,,,,,,,
Kadapa 765kV,NRLDC,Kadappa PG,CK Palli AP,Muddunuru RTPP,Anathapur AP,Gooty Ap,Somayajulapali AP,Kurnool Ap,SSLM LBPH,Mamidipalli,Ghanapur TS,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,
Ghanapur PG,SRLDC,Ghanapur PG,Mamidipalli TS,SSLM LBPH,Kurnool AP(Nannur),Kurnool 765kV,Gooty PG,Pavudaga,Hiriyur,Nelemangala,Bidadi,SMNHL,SRLDC,,,,,,,,,
Ghanapur PG,NRLDC,Ghanapur PG,Ramagundam NTPC,Bhadrwati,WR,NR,NRLDC,,,,,,,,,,,,,,,
